title,id,description,image_link,price,availability,link
Cadena con piedra de coral real / coral naranja / Collar de coral / Collar para la mujer,37,"Cadena plateada con pieza de coral naranja autentico. Es una pieza única e irrepetible y cada una de las piedras de coral son diferentes. El color es natural y engrandece la belleza femenina
La pieza Coral (pieza única) está engarzada en la cadena. Cada una de las piezas es diferente a la siguiente por lo que la forma puede no ser exactamente la de la imagen.

materiales
Cadena dorada
Piedra coral naranja

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1940076909.jpg,18.0,in stock,https://muyaya.es#!/Cadena-con-piedra-de-coral-real-coral-naranja-Collar-de-coral-Collar-para-la-mujer/p/286625518
Cadena personalizada / gargantilla personalizada / collar configurable,39,"Gargantilla para cualquier ocasión creado a mano. Es totalmente configurable entre los colores que se ofrecen

Rojo
Amarillo
Negro
Plata

Son 3 cuentas en las que tú puedes elegir el color y el orden. Por ejemplo
Negro - Plata - Negro

El collar mide 15 pulgadas (38 cm) pero viene con una cadena de 0.8 pulgadas (2 cm) para extender el collar por lo que se puede ajustar.

materiales
Cuentas de diversos colores
Cadena de hilo
broches plateados

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2044124577.jpg,10.0,in stock,https://muyaya.es#!/Cadena-personalizada-gargantilla-personalizada-collar-configurable/p/291081055
Collar con cruz / collar de cuentas / cruz cristiana / Plata alemana,40,"Este maravilloso collar está diseñado para hombres pero puede ser usado perfectamente por una mujer. Todas las cuentas se unen una a una a mano y al igual que las piezas están talladas a mano. Cada collar tarda varias horas en crearse y cada uno es una pieza única.
El materia utilizado es plata alemana y critales y la combinacion es perfecta.

materiales
Plata alemana
cristales morados oscuros y plateados

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1970993469.jpg,19.0,out of stock,https://muyaya.es#!/Collar-con-cruz-collar-de-cuentas-cruz-cristiana-Plata-alemana/p/291827066
Collar Configurable,70,"Este maravilloso collar es un regalo perfecto tanto para ti como para cualquier familiar. Selecciona el nombre que quieres que aparezca y adjúntalos en las opciones. 

materiales
Pedrería variada
Letras plateadas
Símbolos de la paz tallados

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2357547242.jpg,14.0,in stock,https://muyaya.es#!/Collar-Configurable/p/368149037
collar con hueso / collar con coral rojo / collar de coral rojo real,18,"Pieza única creada a mano a partir de un hueso intervenido. Maravilloso collar con coral mostacillas  doradas y hueso intervenido que crea un producto único e incomparable. Perfecto para cualquier ocasión.
materiales
Piedras de coral
Mostacillas doradas
Hueso intervenido
Broche de bronce
",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051182475.jpg,15.0,in stock,https://muyaya.es#!/collar-con-hueso-collar-con-coral-rojo-collar-de-coral-rojo-real/p/260863033
collar de coral rojo / collar para mujer / collar de madera,16,"El coral rojo es el mar. La belleza del coral y la madera se juntan en este precioso collar. Mostacillas doradas coral y madera que realza la belleza de la mujer. Combina perfectamente.

materiales
         Mostacillas doradas
Dijes de madera
Piedras de coral
Broches de bronce


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051247162.jpg,14.0,out of stock,https://muyaya.es#!/collar-de-coral-rojo-collar-para-mujer-collar-de-madera/p/260847229
Collar De Hilo Azul Tejido A Mano,67,"Maravilloso collar tipo gargantilla de hilo de diferentes azules. Se tardan varias horas en bordar  pero el resultado final es espectacular. El resultado final es un producto bello y elegante.

materiales
Hilo de bordar azul
Broches plateados


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2115113450.jpg,15.0,in stock,https://muyaya.es#!/Collar-De-Hilo-Azul-Tejido-A-Mano/p/315855087
collar de hilo / collar de cuerda / collar para mujer,21,"Maravilloso collar de hilo y madera. Se tardan varias horas en poder bordar todo este precioso collar para mujer pero el resultado final es espectacular. Este sobrio collar de hilo bordado a mano y cuenta de madera y coral son una combinación perfecta para llevar con cualquier modelo. El resultado final es un producto bello y elegante.

materiales
Hilo de bordar rojo.
Cuentas de madera.
Coral.
Broche de bronce.


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061372763.jpg,18.0,in stock,https://muyaya.es#!/collar-de-hilo-collar-de-cuerda-collar-para-mujer/p/260863135
Collar de hilo rojo / Collar con dije de cobre / collar con colgante creado a mano,20,"Precioso collar elaborado con hilo de bordar madera coral y flor de bronce hecha a mano y envejecida en ácido dándole un color excepcional. La combinación es perfecta para el uso diario.

materiales
Flor de bronce hecha a mano y envejecida en ácido
Cuentas de madera
Coral
Hilo bordado rojo
Broche de bronce


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061380756.jpg,18.0,in stock,https://muyaya.es#!/Collar-de-hilo-rojo-Collar-con-dije-de-cobre-collar-con-colgante-creado-a-mano/p/260847611
Collar de hilos / collar de hebras / collar con colgante de madera / collar colores,17,"Collar de hilos de colores. Este collar de hilos trabajado a mano hilo a hilo este collar de bordado con bola de madera es una opción perfecta para lucir con cualquier prenda. Selección de colores que además de elegancia traerán alegría a cualquier modelo.

materiales
Hilo de algodón
Bola de madera
Cierres de bronce

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061431010.jpg,12.0,in stock,https://muyaya.es#!/Collar-de-hilos-collar-de-hebras-collar-con-colgante-de-madera-collar-colores/p/260862083
